  t=34.885294, Gx=-11.427481, Gy=2.633588, Gz=0.702290, Ax=-0.669678, Ay=-0.531250, Az=0.551514
  t=34.744118, Gx=0.244275, Gy=-2.366412, Gz=0.793893, Ax=-0.636475, Ay=-0.481445, Az=0.555908
  t=34.744118, Gx=-1.534351, Gy=-0.587786, Gz=-1.511450, Ax=-0.626221, Ay=-0.470215, Az=0.559082
  t=34.697059, Gx=-3.244275, Gy=1.404580, Gz=-0.274809, Ax=-0.636475, Ay=-0.458984, Az=0.553223
  t=34.697059, Gx=-3.106870, Gy=-0.244275, Gz=-1.076336, Ax=-0.621826, Ay=-0.471680, Az=0.598633
  t=34.697059, Gx=25.458015, Gy=16.763359, Gz=6.305344, Ax=-0.700928, Ay=-0.370850, Az=0.519531
  t=34.697059, Gx=48.580153, Gy=-45.412214, Gz=61.923664, Ax=-0.823975, Ay=-0.535889, Az=-0.070801
  t=34.650000, Gx=33.007634, Gy=-8.427481, Gz=-0.824427, Ax=-0.170410, Ay=-0.273926, Az=0.792969
  t=34.744118, Gx=14.259542, Gy=42.725191, Gz=-7.778626, Ax=-0.606689, Ay=0.230713, Az=0.580078
  t=34.744118, Gx=-80.778626, Gy=-143.755725, Gz=10.557252, Ax=-0.220459, Ay=0.012451, Az=0.895752
  t=34.744118, Gx=4.748092, Gy=15.938931, Gz=-10.381679, Ax=0.218506, Ay=-0.438477, Az=0.936279
  t=34.555882, Gx=-5.244275, Gy=4.465649, Gz=-3.167939, Ax=-0.168457, Ay=-0.215576, Az=0.927002
  t=34.650000, Gx=36.488550, Gy=14.740458, Gz=8.320611, Ax=-0.078369, Ay=-0.175537, Az=0.911865
  t=34.744118, Gx=-26.343511, Gy=-31.580153, Gz=1.923664, Ax=0.116943, Ay=-0.209473, Az=0.947021
  t=34.697059, Gx=14.473282, Gy=-14.748092, Gz=26.877863, Ax=0.251709, Ay=0.049561, Az=0.874268
  t=34.650000, Gx=-6.824427, Gy=-37.511450, Gz=13.000000, Ax=0.489746, Ay=-0.064209, Az=0.878906
  t=34.697059, Gx=-12.396947, Gy=6.526718, Gz=-1.954198, Ax=0.541260, Ay=-0.133789, Az=0.897217
  t=34.697059, Gx=-3.160305, Gy=-6.305344, Gz=1.580153, Ax=0.513672, Ay=-0.127197, Az=0.857666
  t=34.744118, Gx=-33.923664, Gy=-16.038168, Gz=-15.229008, Ax=0.668457, Ay=-0.284912, Az=0.756348
  t=34.791176, Gx=33.839695, Gy=43.068702, Gz=-0.435115, Ax=0.898926, Ay=-0.428955, Az=0.415527
  t=34.791176, Gx=-24.343511, Gy=-15.198473, Gz=-0.374046, Ax=0.677246, Ay=-0.083252, Az=0.660889
  t=34.791176, Gx=-69.923664, Gy=34.053435, Gz=3.801527, Ax=0.668457, Ay=-0.106445, Az=1.225098
  t=34.838235, Gx=-1.129771, Gy=-8.030534, Gz=-3.450382, Ax=0.189941, Ay=0.126221, Az=1.026123
  t=34.744118, Gx=-5.992366, Gy=-10.221374, Gz=6.305344, Ax=0.521484, Ay=-0.064941, Az=0.913818
  t=34.650000, Gx=-1.908397, Gy=7.206107, Gz=-1.221374, Ax=0.364258, Ay=-0.247070, Az=0.877930
