accel:{'x': 0.265, 'y': -0.24, 'z': -0.973}, gyro:{'x': 1.854, 'y': 53.535, 'z': 33.043}, agnet:{'x': -17.917, 'y': 2.997, 'z': -34.361}
accel:{'x': 0.394, 'y': -0.15, 'z': -0.987}, gyro:{'x': 15.572, 'y': -16.602, 'z': -13.161}, agnet:{'x': -14.96, 'y': -1.058, 'z': -32.161}
accel:{'x': 0.384, 'y': -0.216, 'z': -1.015}, gyro:{'x': -6.134, 'y': -58.99, 'z': -47.6}, agnet:{'x': -16.873, 'y': 1.587, 'z': -34.023}
accel:{'x': 0.384, 'y': -0.176, 'z': -0.995}, gyro:{'x': 0.198, 'y': 11.353, 'z': 10.651}, agnet:{'x': 0, 'y': 0, 'z': 0}
accel:{'x': 0.36, 'y': -0.187, 'z': -0.995}, gyro:{'x': -7.942, 'y': -1.923, 'z': 4.646}, agnet:{'x': -17.917, 'y': 1.234, 'z': -35.377}
accel:{'x': 0.335, 'y': -0.22, 'z': -1.039}, gyro:{'x': 2.159, 'y': 12.634, 'z': 12.009}, agnet:{'x': -18.265, 'y': 0.881, 'z': -34.023}
accel:{'x': 0.377, 'y': -0.233, 'z': -0.972}, gyro:{'x': -24.269, 'y': -7.591, 'z': -3.334}, agnet:{'x': -17.917, 'y': 2.292, 'z': -35.377}
accel:{'x': 0.38, 'y': -0.23, 'z': -0.982}, gyro:{'x': 12.825, 'y': -6.882, 'z': 1.846}, agnet:{'x': -20.352, 'y': 1.234, 'z': -34.361}
accel:{'x': 0.338, 'y': -0.19, 'z': -1.015}, gyro:{'x': -6.065, 'y': 2.144, 'z': 7.607}, agnet:{'x': 0, 'y': 0, 'z': 0}
accel:{'x': 0.366, 'y': -0.129, 'z': -1.029}, gyro:{'x': -16.792, 'y': -9.705, 'z': -9.476}, agnet:{'x': -18.613, 'y': 2.997, 'z': -35.377}
accel:{'x': 0.332, 'y': -0.258, 'z': -1.03}, gyro:{'x': 5.15, 'y': 19.447, 'z': 13.588}, agnet:{'x': -20.7, 'y': 4.76, 'z': -35.377}
accel:{'x': 0.34, 'y': -0.184, 'z': -0.981}, gyro:{'x': 5.783, 'y': 24.948, 'z': 10.086}, agnet:{'x': -20.005, 'y': 3.702, 'z': -36.054}
accel:{'x': 0.354, 'y': -0.166, 'z': -1.04}, gyro:{'x': -5.585, 'y': -28.809, 'z': -14.503}, agnet:{'x': -18.439, 'y': 2.821, 'z': -34.53}
