  t=33.097059, Gx=-16.587786, Gy=-2.374046, Gz=51.442748, Ax=-0.690186, Ay=0.024658, Az=-0.285400
  t=33.050000, Gx=-17.496183, Gy=61.213740, Gz=-57.740458, Ax=-0.467529, Ay=-0.037109, Az=-0.776367
  t=33.144118, Gx=14.793893, Gy=-16.496183, Gz=18.061069, Ax=-0.601807, Ay=0.054199, Az=-0.640137
  t=33.050000, Gx=-21.045802, Gy=38.938931, Gz=10.687023, Ax=-0.624756, Ay=-0.219482, Az=-0.464600
  t=33.097059, Gx=22.343511, Gy=-94.435115, Gz=25.816794, Ax=-0.484619, Ay=0.333008, Az=-0.903076
  t=33.097059, Gx=11.748092, Gy=9.160305, Gz=-27.969466, Ax=-0.775146, Ay=-0.080566, Az=-0.435791
  t=33.050000, Gx=-12.931298, Gy=-9.427481, Gz=27.297710, Ax=-0.720215, Ay=0.128906, Az=-0.688965
  t=33.002941, Gx=-8.267176, Gy=53.702290, Gz=-49.053435, Ax=-0.529785, Ay=0.333740, Az=-0.765137
  t=33.050000, Gx=6.534351, Gy=11.603053, Gz=-7.503817, Ax=-0.520264, Ay=0.263184, Az=-0.798584
  t=32.955882, Gx=8.702290, Gy=44.633588, Gz=-56.374046, Ax=-0.630859, Ay=0.091309, Az=-0.578857
  t=32.908824, Gx=2.687023, Gy=-14.618321, Gz=-10.175573, Ax=-0.752197, Ay=-0.464355, Az=-0.025879
  t=32.908824, Gx=-0.076336, Gy=8.709924, Gz=-27.343511, Ax=-0.594727, Ay=0.081543, Az=-0.945312
  t=32.955882, Gx=10.832061, Gy=-39.435115, Gz=10.534351, Ax=-0.925537, Ay=-0.716797, Az=0.543945
  t=32.814706, Gx=-0.389313, Gy=85.030534, Gz=-67.389313, Ax=-0.504639, Ay=-0.458008, Az=-0.730957
  t=32.814706, Gx=12.099237, Gy=-163.809160, Gz=171.839695, Ax=-0.510254, Ay=0.744385, Az=-0.876465
  t=32.720588, Gx=3.312977, Gy=86.931298, Gz=-87.106870, Ax=-0.501221, Ay=-0.220215, Az=-0.795898
  t=32.532353, Gx=-9.969466, Gy=35.244275, Gz=-30.229008, Ax=-0.617920, Ay=0.086182, Az=-0.456787
  t=32.532353, Gx=-3.908397, Gy=-31.480916, Gz=40.824427, Ax=-0.569092, Ay=0.225342, Az=-0.962891
  t=32.438235, Gx=-9.099237, Gy=27.977099, Gz=-15.923664, Ax=-0.681396, Ay=-0.288574, Az=-0.368652
  t=32.438235, Gx=3.419847, Gy=24.175573, Gz=-18.526718, Ax=-0.686279, Ay=-0.441650, Az=-0.138428
  t=32.438235, Gx=-0.221374, Gy=-45.503817, Gz=35.969466, Ax=-0.543213, Ay=0.138428, Az=-0.839355
  t=32.297059, Gx=-17.648855, Gy=47.152672, Gz=-16.091603, Ax=-0.562500, Ay=0.000732, Az=-0.652344
  t=32.250000, Gx=1.351145, Gy=-18.839695, Gz=8.541985, Ax=-0.545166, Ay=0.520508, Az=-1.147461
  t=32.155882, Gx=-10.496183, Gy=-10.595420, Gz=45.702290, Ax=-0.672119, Ay=0.342285, Az=-0.632568
  t=32.250000, Gx=2.702290, Gy=-26.755725, Gz=16.625954, Ax=-0.514404, Ay=-0.077637, Az=-0.731934
  t=32.250000, Gx=-10.145038, Gy=-27.618321, Gz=25.778626, Ax=-0.673584, Ay=0.122559, Az=-0.424805
  t=32.202941, Gx=-0.473282, Gy=-25.877863, Gz=32.595420, Ax=-0.569580, Ay=-0.032715, Az=-0.587158
  t=32.250000, Gx=1.816794, Gy=45.610687, Gz=-35.725191, Ax=-0.651611, Ay=0.039795, Az=-0.594727
  t=32.155882, Gx=-1.946565, Gy=-37.190840, Gz=17.832061, Ax=-0.414795, Ay=0.285156, Az=-0.887451
  t=32.297059, Gx=-5.167939, Gy=-21.381679, Gz=15.083969, Ax=-0.566162, Ay=0.038086, Az=-0.421143
  t=32.297059, Gx=1.885496, Gy=40.618321, Gz=-59.893130, Ax=-0.766113, Ay=-0.240234, Az=-0.349854
  t=32.297059, Gx=-0.091603, Gy=-3.122137, Gz=2.099237, Ax=-0.671387, Ay=-0.347656, Az=-0.485352
  t=32.297059, Gx=-16.114504, Gy=17.450382, Gz=14.251908, Ax=-0.750244, Ay=-0.178711, Az=-0.548096
  t=32.155882, Gx=-14.206107, Gy=20.251908, Gz=-12.641221, Ax=-0.484863, Ay=-0.137695, Az=-0.432861
  t=32.155882, Gx=7.114504, Gy=-8.832061, Gz=-12.610687, Ax=-0.651123, Ay=-0.269043, Az=-0.276855
  t=32.014706, Gx=4.106870, Gy=-13.320611, Gz=12.656489, Ax=-0.589844, Ay=-0.229248, Az=-0.278564
  t=32.014706, Gx=-6.167939, Gy=26.702290, Gz=-16.778626, Ax=-0.743408, Ay=0.019531, Az=-0.587891
  t=32.061765, Gx=-0.610687, Gy=-5.458015, Gz=11.145038, Ax=-0.741211, Ay=-0.084717, Az=-0.605225
  t=32.202941, Gx=6.786260, Gy=-13.587786, Gz=-6.404580, Ax=-0.615967, Ay=-0.501953, Az=-0.069336
  t=32.155882, Gx=7.061069, Gy=12.167939, Gz=-18.656489, Ax=-0.903809, Ay=-0.526123, Az=-0.123047
  t=32.108824, Gx=11.503817, Gy=-35.641221, Gz=19.618321, Ax=-0.687012, Ay=-0.215576, Az=-0.427979
  t=32.155882, Gx=7.496183, Gy=-36.366412, Gz=-13.282443, Ax=-0.643555, Ay=-0.241455, Az=-0.306641
  t=32.108824, Gx=17.083969, Gy=35.793893, Gz=-37.793893, Ax=-0.712891, Ay=-0.299072, Az=-0.253418
  t=32.014706, Gx=4.274809, Gy=-25.740458, Gz=44.152672, Ax=-0.540771, Ay=0.016846, Az=-0.638184
  t=32.061765, Gx=9.312977, Gy=27.908397, Gz=-13.893130, Ax=-0.543213, Ay=0.112061, Az=-0.519287
  t=31.308824, Gx=-18.022901, Gy=22.297710, Gz=17.152672, Ax=-0.566162, Ay=-0.023926, Az=-0.979980
  t=31.308824, Gx=2.167939, Gy=25.984733, Gz=-14.770992, Ax=-0.579102, Ay=0.015869, Az=-0.528320
  t=32.061765, Gx=4.816794, Gy=-14.374046, Gz=6.183206, Ax=-0.735840, Ay=-0.267090, Az=-0.196533
  t=31.355882, Gx=11.091603, Gy=-39.702290, Gz=16.564885, Ax=-0.686279, Ay=-0.157959, Az=-0.264648
  t=32.720588, Gx=23.488550, Gy=-3.541985, Gz=-43.801527, Ax=-0.633301, Ay=-0.466553, Az=-0.337891
  t=32.014706, Gx=-11.213740, Gy=10.977099, Gz=21.274809, Ax=-0.615234, Ay=0.210205, Az=-0.786865
  t=32.155882, Gx=-4.885496, Gy=12.274809, Gz=-3.519084, Ax=-0.609863, Ay=0.175293, Az=-0.713623
  t=32.155882, Gx=-0.442748, Gy=-10.381679, Gz=10.809160, Ax=-0.625244, Ay=-0.129395, Az=-0.584229
  t=32.014706, Gx=-12.183206, Gy=10.725191, Gz=1.687023, Ax=-0.833740, Ay=-0.091797, Az=-0.733887
  t=32.720588, Gx=-19.839695, Gy=25.152672, Gz=21.595420, Ax=-0.611572, Ay=-0.091797, Az=-0.420898
  t=31.873529, Gx=8.007634, Gy=-28.030534, Gz=9.557252, Ax=-0.665527, Ay=-0.195312, Az=-0.447021
  t=31.826471, Gx=1.564885, Gy=-0.770992, Gz=1.427481, Ax=-0.572510, Ay=-0.207031, Az=-0.489746
  t=31.873529, Gx=3.977099, Gy=12.099237, Gz=-16.786260, Ax=-0.568115, Ay=0.134277, Az=-0.573486
  t=31.873529, Gx=8.274809, Gy=-42.030534, Gz=10.374046, Ax=-0.539551, Ay=0.144287, Az=-0.767090
  t=31.873529, Gx=4.160305, Gy=13.694656, Gz=-31.801527, Ax=-0.577637, Ay=0.077637, Az=-0.687988
  t=31.873529, Gx=5.740458, Gy=-15.000000, Gz=5.244275, Ax=-0.743164, Ay=-0.259277, Az=-0.413086
  t=31.873529, Gx=0.335878, Gy=10.610687, Gz=-11.916031, Ax=-0.789551, Ay=-0.077881, Az=-0.514648
  t=31.261765, Gx=-14.488550, Gy=14.969466, Gz=18.977099, Ax=-0.386963, Ay=0.043701, Az=-0.516602
  t=31.873529, Gx=-8.076336, Gy=11.984733, Gz=-1.389313, Ax=-0.716064, Ay=-0.133545, Az=-0.565430
  t=31.873529, Gx=1.458015, Gy=-10.984733, Gz=6.022901, Ax=-0.625732, Ay=0.290527, Az=-0.858398
  t=31.732353, Gx=-3.061069, Gy=30.816794, Gz=-25.213740, Ax=-0.683105, Ay=0.009521, Az=-0.608643
  t=31.685294, Gx=3.679389, Gy=-38.114504, Gz=29.404580, Ax=-0.647461, Ay=-0.314941, Az=-0.278076
  t=31.779412, Gx=1.503817, Gy=15.038168, Gz=-22.641221, Ax=-0.545166, Ay=-0.095459, Az=-0.529053
  t=31.685294, Gx=11.083969, Gy=-21.519084, Gz=-4.900763, Ax=-0.703613, Ay=-0.460449, Az=-0.270264
  t=31.638235, Gx=3.458015, Gy=35.931298, Gz=-30.099237, Ax=-0.678955, Ay=0.009766, Az=-0.722168
  t=31.685294, Gx=-7.694656, Gy=-4.877863, Gz=27.404580, Ax=-0.643066, Ay=0.063721, Az=-0.658447
  t=31.685294, Gx=-0.633588, Gy=2.114504, Gz=-10.503817, Ax=-0.525879, Ay=-0.368652, Az=-0.287842
  t=31.544118, Gx=3.343511, Gy=10.175573, Gz=-25.664122, Ax=-0.636230, Ay=-0.022217, Az=-0.537842
  t=31.638235, Gx=-10.412214, Gy=-5.984733, Gz=24.610687, Ax=-0.611084, Ay=-0.209961, Az=-0.389893
  t=31.544118, Gx=-0.541985, Gy=17.969466, Gz=-23.587786, Ax=-0.595703, Ay=-0.454590, Az=-0.239746
  t=31.450000, Gx=5.175573, Gy=-3.580153, Gz=-7.725191, Ax=-0.702148, Ay=-0.242188, Az=-0.297852
  t=31.450000, Gx=-15.030534, Gy=23.038168, Gz=0.534351, Ax=-0.597900, Ay=-0.015137, Az=-0.649414
  t=31.497059, Gx=2.618321, Gy=0.816794, Gz=-2.290076, Ax=-0.590332, Ay=-0.067627, Az=-0.416748
