  t=23.920588, Gx=-5.839695, Gy=0.824427, Gz=-0.374046, Ax=-0.491943, Ay=-0.781738, Az=0.266113
  t=23.779412, Gx=-7.816794, Gy=1.061069, Gz=0.160305, Ax=-0.489258, Ay=-0.771729, Az=0.264160
  t=23.873529, Gx=-5.343511, Gy=0.816794, Gz=0.091603, Ax=-0.494385, Ay=-0.781738, Az=0.254883
  t=23.873529, Gx=-6.175573, Gy=0.351145, Gz=-0.183206, Ax=-0.489502, Ay=-0.779297, Az=0.264404
  t=23.826471, Gx=-5.778626, Gy=0.290076, Gz=-0.099237, Ax=-0.493408, Ay=-0.783203, Az=0.269531
  t=23.826471, Gx=-5.923664, Gy=0.603053, Gz=-0.221374, Ax=-0.500244, Ay=-0.780273, Az=0.269775
  t=23.873529, Gx=-3.977099, Gy=-0.053435, Gz=-0.625954, Ax=-0.509277, Ay=-0.794189, Az=0.286621
  t=24.014706, Gx=-5.961832, Gy=0.374046, Gz=-0.190840, Ax=-0.499023, Ay=-0.786133, Az=0.264404
  t=23.920588, Gx=-5.908397, Gy=0.473282, Gz=-0.129771, Ax=-0.495117, Ay=-0.782227, Az=0.268066
  t=24.014706, Gx=-5.778626, Gy=0.648855, Gz=-0.061069, Ax=-0.489746, Ay=-0.781494, Az=0.280762
  t=24.014706, Gx=-5.908397, Gy=0.679389, Gz=-0.076336, Ax=-0.488770, Ay=-0.782715, Az=0.260498
  t=24.014706, Gx=-5.664122, Gy=0.847328, Gz=0.045802, Ax=-0.493164, Ay=-0.796387, Az=0.263428
  t=24.108824, Gx=-6.068702, Gy=0.603053, Gz=-0.076336, Ax=-0.489746, Ay=-0.785645, Az=0.268555
  t=24.014706, Gx=-5.763359, Gy=0.549618, Gz=-0.045802, Ax=-0.497314, Ay=-0.780029, Az=0.257080
  t=24.155882, Gx=-5.900763, Gy=0.374046, Gz=0.099237, Ax=-0.494629, Ay=-0.785156, Az=0.265137
  t=24.108824, Gx=-5.938931, Gy=0.984733, Gz=-0.282443, Ax=-0.494385, Ay=-0.785400, Az=0.258057
  t=24.155882, Gx=-6.328244, Gy=0.061069, Gz=-0.328244, Ax=-0.491943, Ay=-0.782227, Az=0.264160
  t=24.155882, Gx=-6.015267, Gy=0.458015, Gz=-0.068702, Ax=-0.491455, Ay=-0.787842, Az=0.253418
  t=24.108824, Gx=-5.793893, Gy=0.488550, Gz=-0.244275, Ax=-0.499268, Ay=-0.782471, Az=0.267334
  t=24.202941, Gx=-6.099237, Gy=0.274809, Gz=-0.137405, Ax=-0.492676, Ay=-0.779297, Az=0.257812
  t=24.250000, Gx=-6.122137, Gy=0.267176, Gz=-0.152672, Ax=-0.493896, Ay=-0.778320, Az=0.254883
  t=24.297059, Gx=-6.000000, Gy=0.343511, Gz=-0.045802, Ax=-0.499268, Ay=-0.784180, Az=0.270508
  t=24.250000, Gx=-5.847328, Gy=0.564885, Gz=-0.061069, Ax=-0.497803, Ay=-0.783691, Az=0.266602
  t=24.250000, Gx=-5.687023, Gy=0.557252, Gz=-0.152672, Ax=-0.495605, Ay=-0.787109, Az=0.250488
  t=24.202941, Gx=-5.740458, Gy=0.488550, Gz=-0.305344, Ax=-0.493896, Ay=-0.785400, Az=0.265137
  t=24.438235, Gx=-6.114504, Gy=0.251908, Gz=-0.374046, Ax=-0.495850, Ay=-0.776123, Az=0.263672
  t=24.391176, Gx=-6.396947, Gy=0.152672, Gz=-0.259542, Ax=-0.496094, Ay=-0.783691, Az=0.260742
  t=24.391176, Gx=-5.603053, Gy=0.641221, Gz=-1.923664, Ax=-0.497559, Ay=-0.787598, Az=0.249268
  t=24.344118, Gx=-6.152672, Gy=0.557252, Gz=-0.236641, Ax=-0.498779, Ay=-0.786377, Az=0.259033
  t=24.438235, Gx=-5.580153, Gy=0.564885, Gz=0.244275, Ax=-0.499023, Ay=-0.776123, Az=0.256348
  t=24.438235, Gx=-5.755725, Gy=0.526718, Gz=-0.145038, Ax=-0.500244, Ay=-0.787598, Az=0.264893
  t=25.191176, Gx=-6.969466, Gy=-0.099237, Gz=-0.816794, Ax=-0.492676, Ay=-0.788330, Az=0.261963
  t=23.732353, Gx=-5.793893, Gy=0.312977, Gz=-0.053435, Ax=-0.496826, Ay=-0.779053, Az=0.256592
  t=24.438235, Gx=-6.099237, Gy=0.129771, Gz=-0.305344, Ax=-0.495605, Ay=-0.787842, Az=0.257812
  t=24.485294, Gx=-3.946565, Gy=0.664122, Gz=-0.045802, Ax=-0.494141, Ay=-0.786865, Az=0.264404
  t=23.732353, Gx=-5.450382, Gy=0.740458, Gz=0.190840, Ax=-0.495361, Ay=-0.783447, Az=0.254883
  t=24.579412, Gx=-5.603053, Gy=0.534351, Gz=0.129771, Ax=-0.495605, Ay=-0.781006, Az=0.272705
  t=24.579412, Gx=-6.358779, Gy=0.083969, Gz=-0.541985, Ax=-0.512451, Ay=-0.791504, Az=0.257080
  t=24.579412, Gx=-5.732824, Gy=0.435115, Gz=-0.129771, Ax=-0.493164, Ay=-0.781738, Az=0.261475
  t=24.626471, Gx=-6.190840, Gy=0.190840, Gz=-0.290076, Ax=-0.485352, Ay=-0.787109, Az=0.259277
  t=24.532353, Gx=-4.916031, Gy=1.015267, Gz=0.312977, Ax=-0.489990, Ay=-0.782959, Az=0.262207
  t=24.720588, Gx=-6.000000, Gy=0.503817, Gz=-0.343511, Ax=-0.498291, Ay=-0.785156, Az=0.256104
  t=24.626471, Gx=-5.351145, Gy=0.847328, Gz=0.229008, Ax=-0.495361, Ay=-0.784180, Az=0.273438
  t=24.673529, Gx=-5.610687, Gy=0.633588, Gz=-0.106870, Ax=-0.499512, Ay=-0.787842, Az=0.257080
  t=24.767647, Gx=-6.549618, Gy=0.083969, Gz=-0.404580, Ax=-0.494141, Ay=-0.790039, Az=0.258545
  t=24.814706, Gx=-6.045802, Gy=0.374046, Gz=-0.251908, Ax=-0.492432, Ay=-0.788086, Az=0.252686
  t=24.673529, Gx=-6.954198, Gy=-0.122137, Gz=-0.725191, Ax=-0.497559, Ay=-0.783203, Az=0.254883
  t=24.767647, Gx=-6.396947, Gy=0.198473, Gz=-0.206107, Ax=-0.500244, Ay=-0.787354, Az=0.254150
  t=24.767647, Gx=-6.122137, Gy=0.389313, Gz=-0.083969, Ax=-0.491943, Ay=-0.785889, Az=0.253906
  t=24.814706, Gx=-6.099237, Gy=0.618321, Gz=0.183206, Ax=-0.499756, Ay=-0.782715, Az=0.257080
  t=24.861765, Gx=-5.778626, Gy=0.580153, Gz=-0.259542, Ax=-0.489258, Ay=-0.791260, Az=0.263672
  t=24.955882, Gx=-5.885496, Gy=0.374046, Gz=-1.954198, Ax=-0.497314, Ay=-0.782959, Az=0.252930
  t=24.767647, Gx=-3.916031, Gy=0.687023, Gz=0.122137, Ax=-0.496826, Ay=-0.795654, Az=0.264160
  t=24.908824, Gx=-5.885496, Gy=0.519084, Gz=0.122137, Ax=-0.494629, Ay=-0.778564, Az=0.264160
  t=24.955882, Gx=-6.015267, Gy=0.183206, Gz=-0.129771, Ax=-0.494629, Ay=-0.789307, Az=0.261963
  t=24.955882, Gx=-6.015267, Gy=0.404580, Gz=-0.389313, Ax=-0.494873, Ay=-0.789062, Az=0.255371
  t=25.002941, Gx=-5.694656, Gy=0.725191, Gz=-0.099237, Ax=-0.486328, Ay=-0.777588, Az=0.244141
  t=24.955882, Gx=-5.366412, Gy=0.648855, Gz=0.053435, Ax=-0.495361, Ay=-0.787109, Az=0.253174
  t=25.002941, Gx=-6.099237, Gy=0.503817, Gz=-0.473282, Ax=-0.496826, Ay=-0.784912, Az=0.262939
  t=24.908824, Gx=-6.259542, Gy=0.183206, Gz=-0.244275, Ax=-0.493408, Ay=-0.781006, Az=0.266357
  t=24.955882, Gx=-5.412214, Gy=1.129771, Gz=0.206107, Ax=-0.500977, Ay=-0.784912, Az=0.262207
  t=25.097059, Gx=-5.954198, Gy=0.793893, Gz=0.068702, Ax=-0.496094, Ay=-0.786621, Az=0.257568
  t=24.955882, Gx=-5.702290, Gy=0.763359, Gz=-0.007634, Ax=-0.498047, Ay=-0.783691, Az=0.256592
  t=25.097059, Gx=-6.022901, Gy=0.572519, Gz=-0.106870, Ax=-0.499756, Ay=-0.787109, Az=0.252441
  t=25.097059, Gx=-6.106870, Gy=0.206107, Gz=-0.328244, Ax=-0.489990, Ay=-0.780273, Az=0.257080
  t=25.097059, Gx=-6.030534, Gy=0.442748, Gz=-0.114504, Ax=-0.500488, Ay=-0.789551, Az=0.253418
  t=25.144118, Gx=-5.671756, Gy=0.633588, Gz=-0.091603, Ax=-0.494873, Ay=-0.788574, Az=0.258545
  t=25.002941, Gx=-6.175573, Gy=0.557252, Gz=-0.274809, Ax=-0.495605, Ay=-0.788330, Az=0.255371
  t=25.191176, Gx=-3.916031, Gy=0.496183, Gz=1.938931, Ax=-0.497803, Ay=-0.784424, Az=0.263916
  t=25.144118, Gx=-6.000000, Gy=0.480916, Gz=0.114504, Ax=-0.490723, Ay=-0.766602, Az=0.252197
  t=25.144118, Gx=-4.809160, Gy=1.290076, Gz=0.351145, Ax=-0.497070, Ay=-0.782715, Az=0.258301
  t=25.191176, Gx=-6.381679, Gy=-0.007634, Gz=-0.083969, Ax=-0.501221, Ay=-0.781494, Az=0.261963
  t=25.144118, Gx=-5.687023, Gy=0.526718, Gz=0.091603, Ax=-0.497559, Ay=-0.785400, Az=0.255371
  t=25.285294, Gx=-7.816794, Gy=0.679389, Gz=-0.137405, Ax=-0.491943, Ay=-0.784180, Az=0.260742
  t=25.944118, Gx=-6.000000, Gy=0.335878, Gz=-0.305344, Ax=-0.512451, Ay=-0.788574, Az=0.247559
  t=25.191176, Gx=-5.885496, Gy=0.351145, Gz=-0.290076, Ax=-0.495850, Ay=-0.791016, Az=0.238770
  t=25.897059, Gx=-5.877863, Gy=0.404580, Gz=-0.137405, Ax=-0.502197, Ay=-0.787598, Az=0.256836
  t=25.944118, Gx=-3.938931, Gy=0.541985, Gz=0.007634, Ax=-0.497803, Ay=-0.785889, Az=0.249023
  t=24.485294, Gx=-6.160305, Gy=0.206107, Gz=-0.290076, Ax=-0.495117, Ay=-0.785156, Az=0.248779
  t=25.285294, Gx=-5.839695, Gy=0.458015, Gz=-0.076336, Ax=-0.493652, Ay=-0.786621, Az=0.252686
  t=25.238235, Gx=-6.488550, Gy=-0.099237, Gz=-0.267176, Ax=-0.498291, Ay=-0.789551, Az=0.248779
  t=25.285294, Gx=-6.320611, Gy=0.442748, Gz=-0.389313, Ax=-0.514893, Ay=-0.790283, Az=0.256348
  t=25.379412, Gx=-5.465649, Gy=0.709924, Gz=0.076336, Ax=-0.496826, Ay=-0.794434, Az=0.253418
  t=25.238235, Gx=-6.213740, Gy=-0.045802, Gz=-1.946565, Ax=-0.495850, Ay=-0.787598, Az=0.249268
  t=25.426471, Gx=-5.908397, Gy=0.610687, Gz=-0.068702, Ax=-0.496826, Ay=-0.788574, Az=0.259766
  t=25.332353, Gx=-6.221374, Gy=0.129771, Gz=-0.251908, Ax=-0.494385, Ay=-0.787842, Az=0.254150
  t=25.379412, Gx=-6.251908, Gy=0.503817, Gz=-0.106870, Ax=-0.499268, Ay=-0.783203, Az=0.253418
  t=25.379412, Gx=-6.091603, Gy=0.343511, Gz=-0.061069, Ax=-0.495850, Ay=-0.788330, Az=0.256592
  t=25.379412, Gx=-6.312977, Gy=0.145038, Gz=-0.374046, Ax=-0.501709, Ay=-0.785156, Az=0.249512
  t=25.285294, Gx=-5.664122, Gy=0.351145, Gz=-0.137405, Ax=-0.500977, Ay=-0.782715, Az=0.252197
  t=25.426471, Gx=-5.832061, Gy=0.847328, Gz=-0.312977, Ax=-0.495117, Ay=-0.786621, Az=0.250244
