  t=45.097059, Gx=3.961832, Gy=-3.167939, Gz=0.702290, Ax=0.444580, Ay=-0.977661, Az=-0.046875
  t=45.520588, Gx=-1.427481, Gy=2.061069, Gz=0.641221, Ax=0.451660, Ay=-0.973999, Az=-0.050964
  t=45.332353, Gx=-1.862595, Gy=3.709924, Gz=0.648855, Ax=0.433167, Ay=-0.962036, Az=-0.074280
  t=45.520588, Gx=-1.633588, Gy=1.603053, Gz=0.572519, Ax=0.430481, Ay=-0.984680, Az=-0.044678
  t=45.426471, Gx=-6.969466, Gy=-2.267176, Gz=0.709924, Ax=0.409607, Ay=-0.959534, Az=-0.079529
  t=45.238235, Gx=21.450382, Gy=-2.816794, Gz=0.679389, Ax=0.411743, Ay=-0.963257, Az=-0.083374
  t=45.002941, Gx=5.732824, Gy=-3.366412, Gz=0.618321, Ax=0.448059, Ay=-0.978516, Az=-0.036926
  t=45.238235, Gx=13.900763, Gy=4.755725, Gz=0.541985, Ax=0.427307, Ay=-0.973999, Az=-0.052856
  t=45.567647, Gx=5.557252, Gy=-13.167939, Gz=0.671756, Ax=0.414490, Ay=-0.962341, Az=-0.069702
  t=45.426471, Gx=-14.396947, Gy=7.954198, Gz=0.610687, Ax=0.428650, Ay=-0.980896, Az=-0.045044
  t=45.426471, Gx=-17.083969, Gy=1.167939, Gz=0.549618, Ax=0.451660, Ay=-0.983215, Az=-0.042786
  t=45.567647, Gx=-11.007634, Gy=9.916031, Gz=0.549618, Ax=0.427429, Ay=-0.977051, Az=-0.056335
  t=45.426471, Gx=0.458015, Gy=1.725191, Gz=0.648855, Ax=0.443726, Ay=-0.974792, Az=-0.053650
  t=46.179412, Gx=11.526718, Gy=-10.320611, Gz=0.580153, Ax=0.428223, Ay=-0.969360, Az=-0.063477
  t=45.002941, Gx=1.068702, Gy=-3.145038, Gz=0.541985, Ax=0.435425, Ay=-0.979736, Az=-0.048828
  t=45.332353, Gx=3.961832, Gy=0.702290, Gz=0.648855, Ax=0.427185, Ay=-0.977966, Az=-0.049438
  t=46.085294, Gx=-1.984733, Gy=5.114504, Gz=0.587786, Ax=0.423950, Ay=-0.979553, Az=-0.052002
  t=44.814706, Gx=-5.068702, Gy=5.709924, Gz=0.519084, Ax=0.420898, Ay=-0.980835, Az=-0.049805
